arise	xuất hiện, nảy sinh, nổi lên	To arise is to happen. Difficulties arose with his computer because it was old.	
overlook	nhìn [từ vị trí cao] xuống; trông xuống	To overlook something is to not notice it, or to not realize that it is important. Brenda overlooked the last step and had a bad fall.	
repay	trả lại, hoàn lại (tiền)	To repay is to pay back or to reward someone or something. She repaid her friend for all o f his hard work with a small gift.	
ridiculous	nực cười	If something is ridiculous, it is silly or strange. Steve looked ridiculous with those huge blue sunglasses.	
satisfactory	vừa ý, thỏa đáng, tốt	If something is satisfactory, it is good enough. Mina often received satisfactory grades since she studied so hard.	
shepherd	người chăn cừu	A shepherd is a person who protects and cares for sheep. The shepherd moved the sheep to another field.	
venture	cuộc kinh doanh mạo hiểm	To venture is to go to a place that may be dangerous. Even though it was dangerous, they ventured up the mountain.	
wheat	lúa mì (cây, hạt)	Wheat is a plant which makes grain. Wheat grain is used to make bread. The field o f golden wheat was ready to be harvested.	
alley	lối đi, ngõ	An alley is a narrow read behind houses or buildings The alley behind my house looks dirty	
ax	cái rìu	An ax is a tool used to cut wood. She used an ax to cut some wood for the fire.	
bunch	chùm bó, cụm, buồng	A bunch is a group of the same things.She was hungry, so she ate the entire bunch o f grapes.	
chore	việc vặt hàng ngày	A chore is a job that you have to do but don't like. It's Nikki's chore to do the dishes every Tuesday and Wednesday night.	
decent	thích hợp, tử tế	When something is decent, it is OK or good enough. Eric did a decent job painting the fence.	
disgrace	sự nhục nhã, sự ô nhục	Disgrace is a feeling of shame. He felt a sense o f disgrace after failing his big exam.	
elbow	khuỷu tay	The elbow is the middle part of a person's arm that lets you bend it.She pointed to her elbow to show me where she hurt herself.	
grateful	biết ơn	When you are grateful for something, you are happy that it happened. The girls were grateful to have a chance to spend time with their grandfather.	
irritate	làm phát cáu	To irritate means to annoy someone. She was irritated when her brother told her that he had lost her camera.	
kid	(khẩu ngữ) đứa trẻ	To kid is to make a joke to make someone believe something which is not true. I am not really mad. I was kidding when I said I was angry.	
loose	lỏng, chùng; lung lay, long ra	When something is loose, it is not held in place well. The bolt was loose, so I tightened it with the wrench.	
offend	(chủ yếu dùng ở dạng bị động) xúc phạm, làm mếch lòng	To offend someone means to make them angry or upset. They were both offended by what they had said to each other.	
overnight	qua đêm	When something happens overnight, it happens during the night. The campers stayed in the tent overnight.	
persist	khăng khăng, cố chấp	To persist means to keep doing something even when it is hard. Even though the lesson was difficult, he persisted until he understood.	
pine	(cách viết khác pine tree) cây thông	A pine is a type of tree that is tall and thin. There were many beautiful pine trees in the forest.	
scar	vết sẹo, sẹo	A scar is a mark on the skin after a wound heals. The monster had horrible scars on his cheek and forehead.	
sensation	cảm giác	A sensation is a feeling a person gets from their senses. Mom got a painful sensation in her head from the loud noise.	
sled	xe trượt tuyết	A sled is a small vehicle that you use on snow. Marvin likes to ride his sled down the hill in winter.	
tease	chòng ghẹo, trêu chọc	To tease someone means to laugh at or make fun of them.Jake teased Charlie because he was the new student.	
valentine	ngày lễ thánh Valentine	A valentine is someone you love or admire with great affection. Harry wanted Molly to be his valentine.	
bloom	hoa, bông (của cây trồng lấy hoa)	When a plant blooms, it makes flowers. Roses look so pretty when they bloom.	
compact	chắc, chặt	If something is compact, it is smaller than normal. A laptop computer is much more compact than a desktop model.	
curl	món tóc quăn, lọn tóc quăn	A curl is a small piece of something with a round shape. The colorful ribbons were bent into curls.	
decay	[làm cho] rữa; làm cho sâu (răng), làm cho mục (gỗ)	To decay is to be destroyed naturally. The old wooden house was slowly decaying.	
dessert	món tráng miệng	Dessert is a sweet food that you eat after a meal. Kayla wants ice cream for dessert.	
dip	nhúng, dìm	To dip something is to put part of it into a liquid for a short time. Laurel dipped her strawberry into the chocolate.	
distant	xa	If something is distant, it is far away.Michael could barely see the distant island.	
eclipse	thiên thực (nhật thực, nguyệt thực)	An eclipse is an occasion when the moon moves in front of the sun. A complete eclipse o f the sun is a very rare occurrence.	
fairy	tiên, tiên nữ	A fairy is a small, magic creature with wings. There are usually fairies in fantasy stories.	
grace	vẻ duyên dáng, vẻ yểu điệu	Grace is a quality of moving in a smooth, relaxed and attractive way. The ballerina danced with grace.	
leisure	thì giờ rãnh rỗi	Leisure is time when you do not have to do work. Eve likes to listen to music in her leisure time.	
mankind	loài người, nhân loại	Mankind is all of the world's people. All o f mankind has to work to make this a better world.	
passion	xúc cảm mãnh liệt (như căm thù, yêu, giận…)	Passion is a very strong feeling of wanting to do something. She had a passion for dancing.	
pillow	cái gối	A pillow is something that you put your head on when you sleep. When I travel, I usually take along my favorite pillow.	
pulse	mạch đập; mạch	A pulse is the beat of the heart. The doctor checked the patient's pulse by feeling his wrist.	
refresh	làm cho khỏe khoắn; làm tỉnh người	To refresh someone is to make them feel less hot or tired. The baby was refreshed after taking a cool bath.	
sneeze	sự hắt hơi; cái hắt hơi	To sneeze is to suddenly blow air out of your nose and mouth. He sneezed after smelling the flower.	
spice	gia vị	A spice is a flavor for food and drinks. Two common spices found in many homes are salt and pepper.	
whistle	tiếng huýt gió	To whistle is to make a sound by putting your lips together and blowing.. Ashe was listening to music, Daryl whistled.	
wool	lông len (của cừu, dê…)	Wool is the hair that a sheep has. Grandma wants to use the blue wool to knit me a sweater.	
acquaint	làm quen	To acquaint is to get to know something or someone. Nancy acquainted herself with the new computer.	
cemetery	nghĩa trang	A cemetery is where people are buried when they die. Some people are scared o f cemeteries.	
curse	nguyền rủa	To curse someone or something is to hope that bad things happen to them. The witch cursed the village.	
disguise	cải trang	A disguise is something you wear so people cannot tell who you are. Everyone knew that it was Dad in the Santa disguise.	
fancy	sức tưởng tượng	If something is fancy, it is nicer than normal. Their table was all set for a fancy dinner.	
flashlight	ánh đèn nháy	A flashlight is a small electric light that you carry in your hand. We took a flashlight when we went camping.	
hood	mũ trùm đầu (ở áo khoác)	A hood is part of a coat that goes over your head. She put on her hood to keep her head warm.	
inhabitant	cư dân, vật cư trú	An inhabitant is a person who lives in a certain place. The number o f inhabitants in the countryside is increasing.	
nourish	nuôi; nuôi dưỡng (người, vật, cây)	To nourish something is to give it food that it needs to live. A good mother will nourish her baby every day.	
pirate	cướp biển, hải tặc	A pirate is a sailor who steals things from other boats. Pirates are very scary characters.	
publication	sự xuất bản; tài liệu xất bản	A publication is something printed, like a newspaper or book. She's been a subscriber to that publication for over ten years.	
riddle	điều khó hiểu như đố người khác đoán được	A riddle is a question that is difficult to answer but meant to be funny. I could not answer Wendy's riddle, but it made me laugh.	
rot	[làm] mục, [làm] rữa	When something rots, it slowly gets softer and is destroyed. The old log began to rot in the forest.	
scare	(cách viết khác khẩu ngữ scarify) làm hoảng sợ	To scare means to cause one to feel frightened. I was scared by the sight o f the monster.	
shortly	không lâu, sớm, chẳng bao lâu	If something will happen shortly, it will happen very soon. My workday will end shortly.	
skeleton	bộ xương	A skeleton is the bones of a body. There is a skeleton in the science classroom.	
spoil	làm hỏng	If something spoils, it turns bad or rots. We left the fruit out too long, and it spoiled.	
starve	bỏ đói, bị đói, [làm] chết đói	If a person starves, they do not get enough to eat and sometimes die. During the war, many people starved.	
thrill	sự rộn ràng, sự rạo rực, sự hồi hộp	A thrill is an exciting feeling. The boys enjoy the th rill o f surfing a big wave.	
wicked	xấu, tệ, đồi bại, độc ác, tội lỗi	If something is wicked, it is very bad or evil. My boss is a very wicked man.	
alert	cảnh giác, tỉnh táo	To alert someone is to tell or warn them about something. The fire alarm alerted us that there was a problem.	
broadcast	phát thanh; truyền hình	A broadcast is a television or radio show. We watched the broadcast o f the local news on 7V.	
bulletin	thông báo, thông cáo	A bulletin is a news report that talks about very recent and important events. There was a live bulletin reporting on the economy o f the city.	
bump	va, đụng	A bump is a small raised area on a surface. The monkey got a bump on his head because he was hit by a rock.	
chop	(chủ yếu dùng ở dạng bị động) ngưng hoạt động; giảm rất nhiều	To chop something means to cut it into pieces with a tool. Mom chopped some vegetables to put into the stew.	
closet	(từ Mỹ) tủ chứa đồ; phòng chứa đồ	A closet is a small room used to store things. Marie has many clothes inside o f her closet.	
console	an ủi, bàn điều khiển	To console someone who is sad means to make them comforted. When my dog ran away, my dad consoled me.	
district	quận, huyện, khu; vùng	A district is a small part of a city, county, state, or country. I live in a residential district o f Seattle, Washington.	
drawer	ngăn kéo	A drawer is a small part in furniture that is used to store things. I put my clothes into the empty drawers.	
endure	chịu, chịu đựng	To endure something tough means to do or go through it. She had to endure her husband shouting all day long.	
execute	thực hiện, thi hành	To execute someone means to kill them as a legal punishment. Some people are executed for serious crimes.	
grasp	túm lấy; ngoạm lấy, chộp lấy	To grasp something means to hold it. He grasped the bag o f money tightly.	
rear	phía sau	When something is in the rear of something, it is in the back.The man loaded the rear o f his truck with boxes.	
senator	Thượng nghị sĩ	A senator is someone who makes laws for a state. The young senator promised to make laws that would help the people.	
skull	sọ	A skull is the hard part of your head. Your brain is inside of it. The brain is protected by the skull.	
stir	khuấy, quấy	To stir something means to mix it using something small, like a spoon. Mom stirred the batter until it was smooth.	
tap	vòi nước	To tap something is to hit it lightly. He tapped the keys o f the keyboard to write a short word.	
tremendous	rất lớn	When something is tremendous, it is very large. The Earth's oceans are filled with a tremendous amount o f water.	
underneath	dưới	When something is underneath something else, it is below or lower than it. The roots o f a tree are located underneath the ground.	
worm	giun; sâu	A worm is a small animal with a long, thin body. Worms are often used to help catch fish.	
abandon	bỏ, từ bỏ, ruồng bỏ	To abandon something is to leave it forever or for a long time. The old room had been abandoned years before.	
ambitious	có nhiều tham vọng, có nhiều hoài bão	If someone is ambitious, they want to be rich or successful. Kendra had to be ambitious to get into medical school.	
bark	vỏ cây	When a dog barks, it makes a short, loud noise. The dog barked loudly and frighteningly.	
bay	vịnh	A bay is an area near the ocean where the land goes inward. The Golden Gate Bridge crosses San Francisco Bay.	
brilliant	chói lọi, rực rỡ	If someone is brilliant, they are very smart. My younger sister is brilliant for someone her age.	
chin	cằm	Your chin is the hard part at the bottom of your face. Luke pointed to the hair on his chin.	
complaint	sự kêu ca, sự than phiền	A complaint is something you say to tell people that you don't like something Mom said she didn't want to hear my brother's complaints.	
deaf	điếc	When someone is deaf, they cannot hear. Susan was born deaf.	
enthusiastic	đầy nhiệt tình	To be enthusiastic about something is to be excited by or interested in it. The man was enthusiastic about his job.	
expedition	cuộc viễn chinh; đoàn viễn chinh	An expedition is a long trip, usually to a place very far away. They got into their spaceship to begin their expedition.	
horizon	tầm nhìn, tầm hiểu biết, phạm vi kiến thức	The horizon is where the sky looks like it meets the ground. The sun clipped below the horizon.	
loyal	trung thành	To be loyal to something or someone is to agree to always help them. The three friends are very loyal to each other	
mayor	thị trưởng	The mayor is the person in charge of a city. The mayor o f my hometown is quite a powerful speaker.	
mutual	lẫn nhau, qua lại, hỗ tương	If something is mutual, it is felt in the same way by two or more people. Robert likes Sarah. The feeling is mutual.	
overweight	quá trọng lượng (quy định)	If someone is overweight, they are very fat. Roger eats too much, so now he's overweight.	
refuge	nơi trốn tránh, nơi ẩn náu; nơi nương náu	A refuge is a place where you go to be safe. When it started to rain, she found refuge in the house.	
restore	trả lại, hoàn lại	To restore something is to put it back the way it was. Victor restored the old car.	
rub	cọ, cà, chà, xoa	To rub something is to push on it and move your hand back and forth. Mom's feet were sore, so she rubbed them.	
senses	giác quan	Your senses are how you see, taste, hear, feel and smell. It would be hard to live without your five senses.	
veterinarian	bác sĩ thú y	A veterinarian is a doctor that takes care of animals. Wanda became a veterinarian because she loves dogs.	
anniversary	ngày kỷ niệm [hằng năm]; lễ kỷ niệm [hằng năm]	An anniversary is a day that celebrates something from the past. My parents went out to eat for their wedding anniversary.	
arithmetic	số học	Arithmetic is math. I like to study arithm etic at school.	
ashamed	xấu hổ, hổ thẹn; ngượng	To be ashamed is to feel upset because you did something wrong or bad. He was ashamed when he found out that I knew about his past.	
burst	nổ tung, vỡ tung; làm nổ tung, làm bật tung	To burst is to suddenly break open or apart. The bomb burst over the city.	
carpenter	thợ mộc	A carpenter is a person who builds things with wood. We hired a carpenter to make a cupboard.	
coal	than đá	Coal is a hard black rock that you burn for heat. Many power stations burn coal to produce energy.	
couch	trường kỷ	A couch is a long, soft seat that many people can sit on. Kim and M artin's new couch was very expensive.	
drip	chảy thành giọt	When a liquid drips, just a little bit falls at a time. I heard water dripping from the faucet.	
elegant	thanh lịch, tao nhã	If something is elegant, it is very fancy and pleasing. In Japan, women wear elegant kimonos on special occasions.	
fabric	hàng vải, cơ cấu	Fabric is cloth used to make clothes, furniture, etc. The towels were made from a soft fabric.	
highlands	ở miền núi cao	The highlands are high areas of land, usually with mountains. The man had a small home in the highlands.	
ivory	ngà (voi)	Ivory is a white, hard substance that comes from elephants. The elephant's long ivory tusks looked very impressive.	
mill	cối xay, máy xay; nhà máy xay	A mill is a building where flour is made. The farmer took his wheat to the m ill to make it into flour.	
needle	kim (để may, để đan, để tiêm, để chạy đĩa máy hát, ở mặt la bàn…)	A needle is a small, sharp piece of metal that you use to make or fix clothes. I used a needle to fix the hole in my pants.	
polish	[thuộc] Ba Lan	To polish something is to rub it in order to make it shiny. Mark spent all morning polishing his shoes for the wedding.	
sew	may, khâu	To sew means to put pieces of cloth together using string. I learned to sew when I was a little girl.	
shed	lán, nhà kho (để dụng cụ…)	A shed is a small building where you store things like tools.We have a small shed in the backyard for storage.	
thread	chỉ, sợi	A thread is a thin piece of string. I have many different colors o f thread at home.	
trim	ngăn nắp, gọn gàng	To trim something is to cut it a little bit. I had my hair trimmed this afternoon	
upwards	đi lên, hướng lên, lên	If something goes upwards, it moves vertically higher. The kite went upwards further and further.	
ail	ốm yếu, ốm đau	To ail a person or group is to cause difficulty or pain. My brother went to the doctor to see what was ailing him.	
ally	liên kết, liên minh	An ally is someone who agrees to help or support you. I was happy to find many allies who shared the same opinion as me.	
boast	khoác lác	To boast is to talk about how good you are. We all became tired o f listening to him boast about him self all day.	
bounce	nẩy	To bounce is to move something up and away from a surface after hitting it. Owen bounced the ball on the ground.	
bully	kẻ hay bắt nạt	A bully is a person who is mean to others. The two bullies always picked on the smaller, weaker kids.	
carbohydrate	hydrat cacbon	Carbohydrates are substances in foods like bread that give you energy. Carbohydrates like rice are a good source o f energy for active people.	
crawl	bò, trườn	To crawl is to move slowly on your hands and knees.The baby crawled across the floor	
defeat	đánh bại	To defeat someone is to beat them in a game or battle. The champion defeated the challenger in the boxing match.	
dial	mặt đồng hồ (đồng hồ chỉ giờ, đồng hồ đo đếm điện…)	A dial is the front of a clock. I looked at the dial to see what time it was.	
dominant	át, trội	When someone or something is dominant, they are strongerthan others. The gorilla is one o f the dom inant animals in the jungle.	
mercy	lòng nhân từ, từ tâm	If you show mercy, you choose not to punish or harm someone. He asked his boss for mercy and to not fire him.	
nod	gật đầu; hất đầu ra hiệu; cúi đầu (chào)	To nod is to move your head up and down. I nodded my head as I listened to the song.	
opponent	đối thủ, địch thủ	An opponent is someone who fights against you. On the field, our opponents were too good for us.	
quarrel	sự cãi nhau	To quarrel is to argue or fight. Billy quarreled with his wife about buying a new house.	
rival	kẻ tình địch, kẻ cạnh tranh; đối thủ	A rival is someone that is trying to keep you from getting what you want. The three rivals were all competing for the same job.	
sore	đau	When a part of your body is sore, it hurts. After lifting the heavy box, Mona's back was sore.	
sting	ngòi (ong…), vòi (muỗi…)	To sting is to cause pain by pushing a sharp part into the skin. The needle stung my arm and made me say, " Ouch!"	
strain	kép căng, căng	To strain is to try very hard. Casey strained to lift the heavy box.	
torture	sự tra tấn	Torture is something that causes you physical or mental pain. Greg thought that writing the essay was torture.	
wrestle	đấu vật, vật nhau	To wrestle is to play a game where you try to push someone to the floor. My dad loved to wrestle when he was in high school.	
absence	sự vắng mặt	Absence is the state of something being away. There is an absence o f sand in the hourglass.	
aloud	to (nói, gọi …)	If you say something aloud, you say it so that others can hear you. My father often reads stories aloud to me and my sister.	
bald	hói, trụi	If someone is bald, they have no hair. My oldest brother is bald.	
blanket	mền, chăn	A blanket is a piece of cloth that you use to keep warm or to sit upon. I laid a blanket on the ground so that we could have a picnic.	
creep	bò, trườn	To creep is to move quietly and slowly. The cat slowly crept down the tree.	
divorce	sự ly hôn	Divorce is an event in which a marriage is ended. Divorce rates have increased in the past twenty years.	
imitate	bắt chước	To imitate someone is to do exactly what they do. He im itated his favorite superhero by putting on a costume.	
infant	trẻ nhỏ	An infant is a baby. The infant cried all night.	
kidnap	bắt cóc	To kidnap someone is to take them illegally. She was terrified to find out her son was kidnapped.	
nap	giấc ngủ chợp (thường là vào ban ngày)	A nap is a short sleep, usually during the day. I took a short nap because I stayed up late last night.	
nowhere	không nơi nào, không ở đâu	You use nowhere to say that a place or thing does not exist. Unfortunately, water was nowhere to be found.	
pat	bằng sáng chế số	To pat something is to hit it softly with your hand. I patted some lotion onto my face.	
relief	sự giảm nhẹ, sự bớt đi	Relief is a feeling you get when something bad or challenging ends. I felt a sense o f relief when I heard the good news.	
reproduce	sao lại, in sao, thể hiện lại	To reproduce is to make something exactly how someone else did it. The children tried to reproduce their house using toy blocks.	
rhyme	vần (thơ)	To rhyme is to have the same sounds at the end of a word. Humpty Dumpty is an old rhyme that children learn in school.	
suck	mút, hút, bú	To suck is to put something in your mouth and try to get flavor out of it. The baby sucked m ilk from her bottle.	
urgent	cần kíp, khẩn cấp, khẩn, gấp	If something is urgent, it is important and needs to be done now. He had to leave now, it was urgent.	
vanish	biến mất; tan biến	To vanish is to go away suddenly. All the passengers vanished from the train station.	
wagon	xe ngựa; xe bò	A wagon is a cart you use to carry heavy things.He used his wagon to carry some o f his gifts.	
wrinkle	thường số nhiều) nếp nhăn	A wrinkle is a line on a person's face that happens as they get old. My grandfather has some wrinkles on his face.	
abnormal	khác thường, dị thường 	If something is abnormal, it is strange or not normal. Her idea o f art is a bit too abnormal for me.	
bamboo	cây tre	Bamboo is a hard plant with thin branches and leaves. Outside his home, there is a lot o f bamboo.	
blossom	hoa (của cây ăn quả, cây bụi)	A blossom is a flower or group of flowers.There were colorful blossoms in the yard.	
compass	la bàn	A compass is a device used to tell what direction one is going. A compass is an im portant tool to have when you are traveling.	
dialect	phương ngữ	A dialect is a regional variety of language showing where you are from. People from the U.K. have a different dialect o f English from those in the U.K	
dishonest	bất lương	If someone is dishonest, they do not tell the truth. She was being dishonest when she copied the answers from his test.	
dwarf	người lùn; con vật lùn	A dwarf is a creature from stories that often looks like a short, hairy man. The dw arf had a pleasant look on his face.	
ecosystem	hệ sinh thái	An ecosystem is a group of plants and animals in an area. The river's ecosystem not only includes fish but other insects and plants too	
fatal	[làm] chết người	If something is fatal, it causes death. They passed away in a fatal car crash.	
impatient	thiếu kiên nhẫn, nôn nóng	If someone is impatient, they are not able to wait for things. Bob was so im patient that he could barely wait for the light to turn green.	
leaf	lá cây, lá (vàng…)	A leaf is the flat green thing on trees or bushes. In the fall, the leaves on the trees change colors.	
manuscript	bản viết tay	A manuscript is an old book or paper written by hand. The manuscript was written over 150 years ago.	
marsh	đầm lầy	A marsh is a type of wet land covered with grasses and short plants. The marsh looked so lovely against the mountains.	
patience	tính kiên nhẫn; tính nhẫn nại	Patience is the ability to wait for something without becoming upset. Sue's patience was rewarded by catching her very first fish.	
perfume	hương thơm	Perfume is a good-smelling liquid that girls wear. When she wore her perfume, everyone said she smelled great.	
pond	cái áo	A pond is a very small area of water. The ducks swam in the pond.	
proverb	tục ngữ, cách ngôn	A proverb is a short saying that tells you something important. The proverb "egg on your face" means you've done something embarrassing.	
pursuit	(of something) sự theo đuổi	A pursuit is a chase. The dinosaur was in pursuit of the caveman.	
recite	đọc thuộc lòng	To recite something means to repeat or say aloud in front of a group. Katie recited the Pledge o f Allegiance in class.	
wilderness	vùng hoang dã; hoang mạc	A wilderness is an area where no people live. If you are not careful, you can get lost in the wilderness.	
anticipate	lường trước, dự tính	To anticipate something is to think that it will happen. Carrie anticipated the arrival o f her baby.	
barrel	thùng (đáy tròn, thành cao phình ra ở giữa)	A barrel is a round thing that you can keep liquids in. There was an empty barrel outside the house.	
beam	xà nhà	A beam is a heavy bar. Modern skyscrapers are made with several beams.	
casual	(chủ yếu thuộc ngữ) tình cờ, ngẫu nhiên	If something is casual, it is relaxed or simple. You can wear casual clothes to the party like jeans.	
caution	sự thận trọng, sự cẩn thận	Caution is care and attention in order to avoid danger. Please use the power saw with caution. It is very dangerous.	
contrary	trái, ngược, nghịch	If something is contrary to something else, it is the opposite. It isn't warm outside at all. On the contrary, it is quite cold.	
deliberate	có tính toán, cố ý, chủ tâm	If you are deliberate, you do something on purpose. Bernie made a deliberate attempt to injure Andy.	
dissolve	làm tan, hòa tan, tan	To dissolve something is to mix it into a liquid and disappear. I dissolved the p ill in a glass o f water.	
explode	[làm] nổ	When something explodes, it blows up. My new radio exploded when I plugged it in.	
fasten	đóng chặt, cài chặt	To fasten something is to close it or put it in the correct place. Elizabeth fastened her seat belt.	
germ	mầm, mống	A germ is something that makes you sick. Germs are on everything that you touch.	
kit	quân trang	A kit is a set of all the things needed to do something. Is there a first aid kit in your office?	
puff	hơi thở phù ra; luồng gió thổi phụt ra; tiếng thổi phù	A puff is a little bit of smoke or steam. A p u ff o f smoke came from the burnt match.	
rag	giẻ rách; giẻ	A rag is a small towel. Please use a rag to clean the dust o ff the table.	
scatter	chạy tản ra; đuổi chạy tản ra	To scatter something is to make it go in many places. I accidentally scattered all o f my pills	
scent	mùi hương	A scent is a smell. Julie enjoyed the scent o f the flowers.	
steel	thép	Steel is a shiny gray metal. The new apartment building was made with steel.	
swift	nhanh	If something is swift, it is fast. The sw ift horse easily jum ped over the hurdle.	
toss	quăng, ném, hất	If you toss something, you throw it softly. He tossed a coin into the air.	
triumph	cuộc chiến thắng lớn; cuộc thắng lợi lớn	Triumph is what you feel when you win or finish something. He raised the award in trium ph at the end o f his speech.	
aboard	trên tàu thủy, trên xe lửa	When someone is aboard a ship or plane, they are on or in it. They climbed aboard the kayak and paddled through the river.	
bitter	đắng	When a person is bitter, they are upset with someone or a situation. He was extremely bitter when his computer crashed.	
bullet	đạn	A bullet is a small metal object that is shot out of guns. Bullets come in different sizes for different guns.	
devil	ma, quỷ	The devil is a powerful evil spirit in some religions. The church promised protection from the devil.	
drift	sự trôi giạt, sự bị cuốn đi	To drift means to be moved slowly by wind or water. The large chunk o f ice drifted in the water.	
enforce	buộc thi hành	To enforce means to make a person follow a rule. Police enforce traffic laws to keep everyone safe.	
fountain	vòi nước, vòi phun 	A fountain is a source of water made by people. There was a beautiful fountain in the middle o f the park.	
harbor	hải cảng	A harbor is an area of water along a shore where boats land. There were a few small boats in the harbor.	
inhabit	ở, sống ở	To inhabit means to live in a certain place. No one inhabits the ancient city.	
march	tháng ba	To march means to walk at a steady pace together with others. The soldiers marched in straight rows.	
millionaire	nhà triệu phú	A millionaire is a person who has at least a million dollars. He became a m illionaire because he was smart with his money.	
port	cảng	A port is a place where ships stop to load and unload things. The ship was being loaded with materials at the port.	
sheriff	quận trưởng; thị trưởng	A sheriff is a police officer who is in charge of a large area. It was the sheriff's job to make the city safe.	
startle	làm hoảng hốt, làm nhảy chồm	To startle means to scare someone suddenly. The loud crash startled the sleeping woman.	
sweat	mồ hôi	To sweat means to lose liquid from the body through the skin. Whenever I workout, I sweat quite a bit.	
trigger	cò súng	A trigger is the part of the gun that a person pulls to make it fire. The man had his finger on the trigger o f the gun.	
unify	thống nhất; hợp nhất	To unify means to bring people or things together. With their good deeds, the children tried to unify the world.	
vessel	thuyền lớn, tàu	A vessel is a large ship or boat. We toured the area aboard a luxury vessel.	
voyage	cuộc hành trình dài	A voyage is a long journey made on a boat or an aircraft. The astronauts took o ff on a long voyage to the moon.	
worship	sự thờ cúng; lễ thờ cúng	To worship means to like and honor a person, thing, or religious figure. Many people around the world worship in a church.	
apprentice	người học việc, người học nghề	An apprentice is a person who learns how to do a job from a skilled person. Mark is an apprentice chef at the restaurant.	
assure	đóan chắc, cam đoan	To assure someone is to tell them something is true to make them less worried He assured the boss that the building would be done on time.	
bandage	băng (để băng vết thương...)	A bandage is a piece of cloth used to stop bleeding. If you cut yourself, please get a bandage from the first-aid kit.	
bleed	chảy máu, mất máu	To bleed is to lose blood. If you are not careful, you will cut your finger and bleed.	
bond	khế ước, giao kèo	To bond with someone is to become friends with them. The women bonded after several hours o f conversation.	
chef	đầu bếp; bếp trưởng ở cửa hàng ăn	A chef is a person who cooks in a restaurant. Tom is a chef at the restaurant near my house.	
